id,subjectname,associatedcoursecodes
0,"Graphic figuration
",AR-113
1,Theory of architecture I,AR-121
2,History of architecture I,AR-123
3,Studio BA3 (Bakker & Blanc A.),AR-201
4,Stereotomy,AR-211
5,Introduction to CAD Tools in architecture,AR-219
6,Studio BA5 (Viganò),AR-301
7,Studio BA6 (Viganò),AR-302
8,Construction and sustainability V,AR-331
9,Design of structures,AR-337
10,Designing built heritage: Tools and methods,AR-339
11,Environmental histories,AR-367
12,Studio MA1 (Gugger),AR-401
13,Studio MA2 (Gugger),AR-402
14,UE L : Art and architecture: constructing the view I,AR-415
15,UE N : Art et architecture: constructing the view II,AR-416
16,Theory of architecture VII,AR-421
17,History of concrete,AR-425
18,History of housing,AR-427
19,Confort by design in the 20th century architecture,AR-428
20,Magma and principles,AR-430
21,UE B : Architectural critique,AR-432
22,UE H : Graphy,AR-433
23,The preservation project: theories and techniques,AR-434
24,UE R: Introduction to BIM (Building Information Modeling),AR-435
25,UE F : Architecture and rehabilitation,AR-439
26,UE O: Concrete. Construction material,AR-447
27,UE P: Concrete. Construction and prefabrication,AR-448
28,Urbanism and Territories,AR-455
29,"Urbanism in Asia
",AR-456
30,Architecture and cities design of Islam,AR-457
31,City and mobility,AR-458
32,African cities : introduction to urban planning,AR-462
33,Urban habitat and developement,AR-465
34,UE D : Territory and society,AR-466
35,UE J : Territory and landscape,AR-471
36,UE U : Cartography,AR-476
37,Interactive conceptual design of structural forms,AR-483
38,Introduction to BIM (Building Information Modeling),AR-484
39,Urban sociology,AR-489
40,"Land, properties, housing",AR-491
41,Spatial and Regional Economy,AR-492
42,From structure to ornament: a cultural history of construction,AR-521
43,Autonomous architecture,AR-526
44,Complex structures,AR-535
45,Superstudio,AR-597
46,"Theoretical statement (linked to Master Project, only 9th semester)",AR-598
47,Master project in Architecture,AR-599
48,Les outils des urbanismes (2016),AR-638
49,Cellular biology and biochemistry for engineers,BIO-105
50,Introduction to life sciences (for IC),BIO-109
51,Integrated labo in Life sciences I,BIO-203
52,Integrated labo in Life sciences II,BIO-204
53,Cellular and Molecular Biology II,BIO-207
54,Biological chemistry I,BIO-212
55,Biological chemistry III,BIO-213
56,Biomolecular structure and mechanics,BIO-315
57,Morphology I,BIO-320
58,Mathematical and Computational Models in Biology,BIO-341
59,Genetics and genomics,BIO-373
60,Physiology by systems I,BIO-376
61,"Physiology by systems II
",BIO-377
62,Introduction to oncology,BIO-392
63,Fundamentals of biophotonics,BIO-443
64,Scientific literature analysis in cell and developmental biology,BIO-464
65,Biological modeling of neural networks,BIO-465
66,Scientific literature analysis in bioengineering,BIO-467
67,Scientific literature analysis in computational molecular biology,BIO-468
68,Infection biology,BIO-477
69,Immunology,BIO-479
70,Neuroscience II: cellular mechanisms,BIO-482
71,Scientific project design in translational oncology,BIO-488
72,Scientific project design in integrative neurosciences,BIO-493
73,Scientific project design in drug discovery,BIO-494
74,Practical - Brisken Lab,BIO-608
75,Practical - Bucher Lab,BIO-609
76,Practical - Constam Lab,BIO-611
77,Practical - Gönczy Lab,BIO-617
78,Practical - Lingner Lab,BIO-622
79,Practical - Naef Lab,BIO-629
80,Practical - Radtke Lab,BIO-630
81,Practical - Simanis Lab,BIO-634
82,Practical - Cole Lab,BIO-636
83,Practical - Lemaitre Lab,BIO-638
84,Landmark Papers in Cancer and Infection,BIO-657
85,Advanced Microscopy for Life Science,BIO-659
86,Practical - Trono Lab,BIO-663
87,Lectures in Life Sciences 1,BIO-6701
88,Lectures in Life Sciences 2,BIO-6702
89,Practical - Meylan Lab,BIO-671
90,Practical - Fellay Lab,BIO-676
91,Animal models in Biomedical research,BIO-678
92,Practical - Suter Lab,BIO-679
93,Scientific writing for biomedical articles (Fall),BIO-686
94,"Nature, In Code - Biology in JavaScript",BIO-689
95,Symmetry and Conservation in the Cell,BIO-692
96,Image Processing for Life Science,BIO-695
97,Neuronal circuits underlying goal-directed behavior,BIO-697
98,Training Rotation (EDMS),BIO-699
99,Training Rotation (EDBB),BIO-6991
100,Mechanisms of cell motility,BIO-714
101,Materials science for bioengineers,BIOENG-315
102,Immunoengineering,BIOENG-399
103,Analysis and modelling of locomotion,BIOENG-404
104,Biomaterials,BIOENG-442
105,Advanced bioengineering methods laboratory,BIOENG-444
106,Scientific literature analysis in neuroscience,BIOENG-451
107,Sensorimotor neuroprosthetics,BIOENG-486
108,Lab methods : animal experimentation,BIOENG-511
109,Lab methods : bioactive compounds screening,BIOENG-512
110,Lab methods : biosafety,BIOENG-513
111,Lab methods : flow cytometry,BIOENG-514
112,Lab methods : histology,BIOENG-516
113,Python Bootcamp,BIOENG-601
114,Summer School on Shaping the Future of Bioengineering,BIOENG-802
115,Summer School on Neurophysiology for Neural and Biomedical Engineering (2017),BIOENG-803
116,Chemistry Laboratory Work I,CH-108
117,Chemistry Laboratory Work II,CH-109
118,Advanced general chemistry,CH-160
119,Biochemistry I,CH-210
120,Organic functions and reactions II,CH-233
121,Analytical separation methods,CH-301
122,Molecular and cellular biophysics I,CH-311
123,Molecular and cellular biophysics II,CH-312
124,Biochemistry II,CH-313
125,Opération unitaire et technologie des procédés,CH-334
126,Physical chemistry of interfaces,CH-341
127,Introduction to cheminformatics,CH-352
128,Atoms and radiation,CH-360
129,Mass spectrometry,CH-403
130,Analysis of ancient materials and their degradation,CH-406
131,Nuclear magnetic resonance,CH-409
132,Cellular signalling,CH-411
133,Nanobiotechnology and biophysics,CH-413
134,Pharmacological chemistry,CH-414
135,Protein mass spectrometry and proteomics,CH-419
136,Understanding advanced molecular simulation,CH-420
137,Catalyst design for synthesis,CH-422
138,Physical and computational organic chemistry,CH-431
139,Total synthesis of natural products,CH-438
140,Photochemistry I,CH-442
141,Photochemistry II,CH-443
142,Lasers and applications in chemistry,CH-446
143,Photomedicine,CH-448
144,Computational methods in molecular quantum mechanics,CH-452
145,Basic principles of drug action at the cardiovascular system,CH-602
146,Basic principles of drug action at the nervous system,CH-603
147,"Inorganic chemistry ""Fundamentals and properties""",CH-610
148,"Inorganic chemistry ""Techniques and methods""",CH-611
149,High pressure in chemical kinetics and equilibria,CH-617
150,Efficient Synthetic Routes Towards Bioactive Molecules,CH-620
151,Perspectives in Modern Organic Chemistry (OCS) 1,CH-6211
152,Perspectives in Modern Organic Chemistry (OCS) 2,CH-6212
153,Synergism between Art of Total Synthesis and High Level Strategic Design (MOM),CH-622
